,x,y
0,1.159079121,1
1,1.226235769,1
2,1.795446524,1
3,1.781118412,1
4,0.145231299,0
5,0.177178484,0
6,0.081886867,0
7,0.068729139,0
8,0.89113663,1
9,1.222815088,1
10,0.780059279,1
11,1.361185968,1
12,0.21870094,0
13,0.022665793,0
14,0.673052779,1
15,1.303859638,1
16,1.299579257,1
17,0.185734881,1
18,2.25019271,1
19,1.030215391,0
20,0.162925924,1
21,0.44786314,0
22,4.4539429,1
23,0.061879798,0
24,0.056787003,0
25,0.172134543,0
26,0.142027696,0
27,0.195600576,1
28,2.55588448,1
29,0.269625789,0
30,0.502851456,0
31,2.775332305,1
32,2.835853301,1
33,0.06387428,0
34,0.3792711,0
35,0.020030459,0
36,0.091138516,1
37,0.617536634,0
38,0.624728588,0
39,0.38121997,1
40,0.029488546,0
41,0.617851114,1
42,0.627714093,1
43,0.049228322,1
44,0.054768167,1
45,1.219559716,1
46,0.989390087,1
47,0.223331374,1
48,0.115837863,0
49,0.315749837,1
50,0.345809091,0
51,0.020239534,0
52,2.085655847,1
53,1.28315745,1
54,2.037430316,1
55,0.254202481,0
56,0.875063961,0
57,0.295616129,0
58,0.97973806,1
59,0.223289136,0
60,1.859673216,1
61,0.578853962,0
62,0.9945297,1
63,0.078568701,0
64,0.045309402,0
65,0.312670758,1
66,0.068769422,0
67,0.004620594,1
68,0.55461949,1
69,0.196144523,0
70,0.070755133,0
71,1.550636444,1
72,1.682709735,1
73,1.11481796,1
74,1.586522076,1
75,0.048908186,0
76,0.050441428,0
77,0.363616966,0
78,0.18298228,0
79,1.620717377,1
80,0.070275751,0
81,0.075031345,0
82,1.76745861,1
83,0.912274291,1
84,0.224893961,1
85,0.05624576,1
86,0.280359443,1
87,0.280223134,0
88,0.194672836,0
89,0.61190768,0
90,0.095854916,0
91,0.20395007,0
92,0.315602248,0
93,2.002807699,1
94,0.01054398,0
95,0.572959961,0
96,0.207741166,0
97,0.311291807,0
98,1.295451252,1
99,0.192551138,0
100,0.214939268,0
101,0.268764792,0
102,1.137720494,1
103,0.447471715,1
104,0.009380191,0
105,0.040975933,1
106,1.746130751,1
107,0.154159332,0
108,0.672683425,1
109,0.104851029,1
110,1.589274503,1
111,0.156629595,0
112,0.000113185,0
113,2.311183221,1
114,0.04416595,0
115,0.601742926,0
116,0.668707249,1
117,0.142359836,1
118,0.833306927,1
119,0.271923496,0
120,2.4660347,1
121,0.007243575,0
122,0.90947086,1
123,0.320326268,0
124,0.106257804,1
125,0.925265802,1
126,0.06509982,1
127,0.088537612,0
128,1.114878306,1
129,4.646206058,1
130,0.037487373,0
131,0.330369009,0
132,0.182704274,0
133,0.082786115,0
134,0.008978766,1
135,0.164432715,1
136,1.681365494,1
137,0.03828536,0
138,0.12548928,1
139,0.071852105,0
140,0.380433913,0
141,0.303898036,1
142,0.562869042,1
143,0.350682884,0
144,0.528319713,0
145,0.00666749,0
146,1.323713348,1
147,1.686353831,1
148,1.149785727,1
149,0.492323643,1
150,0.257599949,0
151,0.266990836,0
152,1.182088804,1
153,0.308806587,1
154,1.408518118,1
155,0.056778231,0
156,0.149845651,1
157,1.108185492,1
158,0.162112937,0
159,0.054004141,0
160,0.04522777,0
161,0.450342041,1
162,0.775423514,1
163,0.009019146,0
164,0.150052002,0
165,0.099531536,1
166,0.653616225,1
167,0.366389284,1
168,0.164691372,0
169,0.212412893,0
170,0.072610373,0
171,2.605353541,1
172,1.330627888,1
173,1.519593083,1
174,0.005709695,0
175,0.081366018,0
176,0.75599783,0
177,1.279535789,1
178,0.665021656,1
179,0.476328771,1
180,0.04854109,1
181,0.036801991,0
182,0.275003057,0
183,0.869890688,1
184,0.062730614,0
185,0.54594528,1
186,0.069048067,0
187,0.069137642,1
188,0.409909923,0
189,0.240865227,1
190,0.073712931,1
191,0.008814857,0
192,0.004949533,0
193,10.48858309,1
194,0.688226865,1
195,0.146901894,0
196,0.167132481,0
197,0.226194717,1
198,1.155197129,1
199,2.408812904,1
200,0.296815448,0
201,0.291939567,1
202,0.334422774,0
203,0.619746718,1
204,0.178176452,0
205,0.288314213,0
206,0.042052856,0
207,0.095377015,1
208,0.123118,0
209,0.020890034,1
210,1.332492832,1
211,0.113478368,1
212,0.03050892,0
213,0.015705809,0
214,0.598430281,0
215,0.315205179,1
216,0.790947237,1
217,0.026338914,0
218,0.091056163,1
219,0.256790122,1
220,1.45339804,1
221,0.283034757,1
222,1.285296684,1
223,0.011114835,0
224,0.003714086,0
225,0.263099002,0
226,0.306725621,0
227,1.131780263,1
228,0.02427937,0
229,0.713317567,1
230,0.383295854,1
231,0.033500491,0
232,0.422741896,0
233,0.827162218,1
234,0.126005646,0
235,0.365116381,0
236,0.034711135,0
237,2.179888995,1
238,0.365166285,1
239,0.081757497,0
240,0.588113993,1
241,0.01508017,0
242,0.017722381,0
243,3.276130692,1
244,0.322424671,1
245,0.487788174,0
246,1.775757396,1
247,0.06852349,0
248,0.073165308,0
249,0.842095428,1
250,0.453605267,1
251,0.157638986,0
252,0.810348573,1
253,0.213706017,0
254,1.036060349,1
255,0.155218311,0
256,0.152589198,0
257,0.064445705,0
258,0.237561952,0
259,0.068465454,0
260,0.05527845,0
261,0.215085653,0
262,1.738806352,1
263,0.683307639,1
264,0.446103709,0
265,1.572858865,1
266,0.027437142,0
267,0.095995455,0
268,0.326299511,0
269,0.091137066,0
270,0.436595806,1
271,1.691001317,1
272,1.33389622,1
273,0.270464054,0
274,0.157111738,0
275,0.266358588,0
276,0.051191592,0
277,0.300206709,1
278,1.179689876,1
279,0.024756134,0
280,0.237290538,1
281,0.987081049,1
282,0.31909597,0
283,1.502528054,1
284,0.09965041,0
285,0.359017073,0
286,2.462855485,1
287,0.133086498,1
288,0.151382374,0
289,0.385476726,1
290,0.577652968,1
291,0.6802683,1
292,0.570001308,0
293,0.654279444,1
294,0.611610779,1
295,0.105519737,1
296,4.652510169,1
297,0.068624338,0
298,0.073661482,0
299,0.171680343,1
300,0.029781054,0
301,0.045359734,0
302,0.151723587,0
303,0.363603745,0
304,0.25801865,0
305,0.096182752,0
306,0.255563817,0
307,0.013045488,0
308,0.396412441,1
309,0.100531731,0
310,0.011116726,0
311,0.500565618,1
312,0.058741418,0
313,0.50300373,1
314,0.153526219,1
315,0.018598598,0
316,0.025323323,0
317,0.363331785,0
318,1.566202985,1
319,0.277507095,1
320,1.188976502,1
321,0.325996273,1
322,0.056936646,0
323,1.781258355,1
324,0.518558565,1
325,0.112065562,1
326,2.077083613,1
327,0.573186049,1
328,0.234430729,1
329,0.057732949,0
330,0.188127667,1
331,2.624358482,1
332,0.259617087,0
333,0.240426746,0
334,0.762513684,1
335,0.406504196,0
336,0.422609252,0
337,1.181636297,1
338,0.561859265,1
339,0.102118544,1
340,0.14565795,0
341,0.197654663,0
342,1.554885887,1
343,0.23507146,0
344,0.514284092,1
345,0.323540084,1
346,0.127684893,0
347,0.712721405,1
348,0.255295135,0
349,0.11541932,0
350,3.291724972,1
351,0.379557582,0
352,0.025165794,0
353,0.176623093,0
354,0.982814552,1
355,0.027556539,0
356,0.701306596,1
357,0.108591561,0
358,0.103834663,0
359,0.380549831,0
360,1.933404705,1
361,1.482622423,1
362,4.0341023,1
363,1.031268234,1
364,0.024967617,1
365,2.400605039,1
366,0.048321439,0
367,0.081759341,0
368,0.459938333,1
369,1.807905365,1
370,0.0463731,1
371,0.201768179,0
372,0.017202126,0
373,0.077381887,0
374,0.244150434,0
375,0.139685983,0
376,0.410640336,0
377,0.247521409,1
378,0.272495064,0
379,1.492697816,1
380,1.0962946,1
381,0.001473227,0
382,0.156790126,0
383,2.685091394,1
384,1.180178845,1
385,2.344871413,1
386,0.171504924,1
387,0.175676829,0
388,0.09586366,0
389,0.114823898,1
390,0.134792411,1
391,2.057746945,1
392,0.26810539,0
393,0.352031614,0
394,0.192090128,0
395,1.504309115,1
396,0.199111129,1
397,0.613842784,1
398,0.332885163,0
399,0.476511393,1
400,0.037760761,0
401,1.092293288,1
402,0.302996295,0
403,0.508644838,1
404,0.358280839,0
405,0.550278756,0
406,0.094676645,0
407,0.719777734,1
408,0.047579398,0
409,1.903344835,1
410,2.680732084,1
411,0.630626329,1
412,0.181462295,0
413,1.681904703,1
414,0.52430226,0
415,0.030632741,0
416,0.472944848,1
417,0.105436971,0
418,0.374469684,1
419,0.073568738,0
420,1.81206709,1
421,0.988088604,0
422,0.946805777,0
423,0.468105936,0
424,0.13390674,1
425,0.313389154,0
426,0.036327053,0
427,0.068956868,0
428,0.221700179,0
429,0.086885242,1
430,0.800245994,1
431,1.175078722,1
432,0.13460902,1
433,0.55266141,0
434,0.766725079,1
435,0.262233701,0
436,0.400373126,1
437,0.0211314,0
438,0.132473678,0
